Activity Type,Title,Start Date,End Date,Learning Hours
Professional activity,Organiser of RLadies Lancaster,01/05/2019 00:00,01/05/2019 00:00,0.0
Professional activity,Organiser of the SatRday NCL 2020 conference,01/11/2019 00:00,01/11/2019 00:00,0.0
Self-directed learning,Pair programming with Benjamin,28/06/2019 00:00,28/06/2019 00:00,0.0
Self-directed learning,Parsnip and Reciepes,15/04/2019 14:00,15/04/2019 17:00,0.0
Other,Personal mathematics tutoring,01/04/2017 00:00,30/04/2017 00:00,3.0
Work based learning,Psychology Summit,10/10/2017 00:00,12/10/2017 00:00,6.0
Work based learning,PyData Lancaster,27/11/2019 00:00,27/11/2019 00:00,0.0
Formal / Educational,PyData Lancaster February,26/02/2020 18:00,26/02/2020 21:00,0.0
Professional activity,R Ladies Lancaster: Dates and times with lubridate,06/11/2019 18:00,06/11/2019 20:00,1.0
Professional activity,R-Ladies,30/05/2018 18:00,30/05/2018 20:00,0.5
Professional activity,R-Ladies,25/01/2018 18:00,25/01/2018 21:00,1.0
Professional activity,R-Ladies Lancaster,01/05/2019 00:00,01/05/2019 00:00,1.0
Professional activity,R-Ladies Lancaster: ggplot2,03/07/2019 16:00,03/07/2019 18:00,1.0
Professional activity,R-Ladies Lancaster: Introduction to Shiny,04/03/2020 18:00,04/03/2020 20:00,0.0
Professional activity,R-Ladies Lancaster: R Markdown,05/02/2020 18:00,05/02/2020 20:00,1.0
Professional activity,R-Ladies Lancaster: stringr & regex,02/10/2019 18:00,02/10/2019 20:00,1.0
Professional activity,R4DS tutoring,14/05/2018 14:00,14/05/2018 16:00,1.0
Professional activity,Rail Supplier Engagement Event ,27/11/2018 10:00,27/11/2018 14:00,2.0
Self-directed learning,Reading: Elements of Statistical Learning,04/09/2017 00:00,28/09/2017 00:00,4.0
Self-directed learning,Reading: R4DS,01/09/2017 00:00,30/11/2017 00:00,4.0
Self-directed learning,Reading: Reproducible Research,14/06/2017 13:00,14/06/2017 17:00,2.0
Professional activity,Research Data: The Best Laid Plans…,18/02/2019 13:00,18/02/2019 16:00,0.0
Professional activity,RLadies Lancaster: Dplyr,05/06/2019 18:00,05/06/2019 20:00,1.0
Professional activity,RSS Conference 2019,03/09/2019 00:00,05/09/2019 00:00,0.0
Self-directed learning,RSS CPD training webcast,10/12/2018 12:00,10/12/2018 13:00,0.5
Professional activity,RSS Lancashire Chair,01/01/2019 00:00,01/01/2019 00:00,1.0
Professional activity,RSS Lancashire Talk: Claire Miller ,14/03/2019 15:00,14/03/2019 17:00,0.0
Professional activity,RSS Lancashire Talk: David Spiegelhalter,28/09/2017 16:00,28/09/2017 18:00,1.0
Professional activity,RSS Lancashire Talk: Davide Pigoli,20/09/2018 15:00,20/09/2018 17:00,0.5
Professional activity,RSS Lancashire Talk: Peter Van der Heijden,14/02/2019 15:00,14/02/2019 17:00,0.5
Professional activity,RSS Lancashire: Machine Learning in Astronomy,30/05/2019 14:00,30/05/2019 18:00,0.0
Professional activity,RSS PSF Route to Chartered CStat,27/03/2018 15:30,27/03/2018 19:00,2.5
Professional activity,RSS PSF: Effective Communication,16/04/2018 14:00,16/04/2018 15:00,0.5
Professional activity,RSS PSF: Excellence in Official Statistics,16/05/2018 14:00,16/05/2018 15:30,0.5
Work based learning,RSS Stats Ambassador: Panorama,20/08/2017 00:00,24/08/2017 00:00,2.0
Work based learning,RSS Stats Ambassador: Stat of the Year,27/11/2018 00:00,02/12/2018 00:00,2.0
Self-directed learning,RSS Video: Data Science and Statistics: different worlds?,21/07/2017 15:00,21/07/2017 16:30,1.0
Professional activity,RSSB Forecasting Workshop,11/06/2018 09:00,11/06/2018 15:00,5.0
Professional activity,RStudio Conf 2020,29/01/2020 00:00,30/01/2020 00:00,0.0
Formal / Educational,RStudio Online training,19/03/2020 20:00,19/03/2020 21:00,0.0
Formal / Educational,RStudio Sys Admin training,11/11/2019 14:00,11/11/2019 18:00,0.0
Professional activity,RStudio teaching exchange,13/11/2019 17:00,13/11/2019 18:00,0.0
Work based learning,RStudio Tech exchange,12/11/2019 16:30,12/11/2019 17:30,0.0
Work based learning,RStudio technical exchange,08/10/2019 16:30,08/10/2019 17:30,0.0
Professional activity,RStudio Trainer Meeting,18/09/2019 17:00,18/09/2019 18:00,0.0
Formal / Educational,RStudio Training,25/04/2019 12:30,25/04/2019 16:00,0.0
Formal / Educational,RStudio Training,26/04/2019 12:30,26/04/2019 16:00,0.0
Work based learning,SatRday Cardiff,16/11/2019 00:00,16/11/2019 00:00,0.0
Professional activity,SatRday Newcasle,06/04/2019 09:00,06/04/2019 17:00,0.0
Formal / Educational,Shiny exam,22/07/2019 15:00,22/07/2019 16:00,0.5
Self-directed learning,Spatial Data Learning,22/08/2019 00:00,23/08/2019 00:00,0.0
Self-directed learning,SQL murder mystery,20/12/2019 16:00,20/12/2019 16:00,1.0
Professional activity,Stats ambassadors covid-19 response call,27/03/2020 11:30,27/03/2020 12:30,0.0
Professional activity,STEM Ambassador: Careers Fair,14/03/2018 18:00,14/03/2018 20:00,0.5
Other,STEM Ambassador: Engineering Your Future x 2,16/11/2018 12:00,16/11/2018 14:00,1.0
Professional activity,STEM Ambassador: Florence Nightingale,12/01/2017 12:00,12/01/2017 14:00,0.5
Professional activity,STOR-i CDT Conference,11/01/2018 18:00,11/01/2018 21:00,1.0
Professional activity,STOR-i Conference 2017,12/01/2017 00:00,13/01/2017 00:00,5.0
Professional activity,STOR-i Conference 2019,10/01/2019 15:00,10/01/2019 19:00,2.0
Professional activity,STOR-i Conference 2020,01/01/2020 04:00,01/01/2020 13:00,0.0
Professional activity,STOR-i Conference 2020,09/01/2020 00:00,10/01/2020 00:00,0.0
Self-directed learning,Stylish code,27/10/2017 15:00,27/10/2017 16:00,1.0
Other,Supervising a placement student,14/01/2019 00:00,22/03/2019 00:00,3.0
Formal / Educational,Teaching exam,14/06/2019 17:00,14/06/2019 18:00,1.0
Self-directed learning,The Tidyverse Style Guide,20/10/2017 15:00,20/10/2017 17:00,1.0
Formal / Educational,Tidy Time Series Workshop,27/01/2020 00:00,28/01/2020 00:00,11.0
Formal / Educational,Tidyverse Exam,04/06/2019 15:00,04/06/2019 16:00,0.5
Work based learning,Training: Writing Aptitude tests,19/12/2017 00:00,19/12/2017 00:00,8.0
Formal / Educational,UCREL Summer School in corpus-based NLP,02/07/2018 00:00,05/07/2018 00:00,16.0
Professional activity,UKRRIN Lecture Series - Centre of Excellence in Rolling Stock,29/01/2019 15:00,29/01/2019 19:00,2.0
Work based learning,UKRRIN Rail Data Challenge Workshop ,05/09/2018 14:00,05/09/2018 17:00,1.0
Other,UniBrass Trustee,01/01/2017 00:00,31/12/2017 00:00,5.0
Self-directed learning,Unix basics,26/06/2019 16:00,26/06/2019 18:00,0.0
Professional activity,useR 2019,09/07/2019 09:00,12/07/2019 16:00,0.0
Work based learning,VM training with Seb,18/04/2019 09:30,18/04/2019 10:30,0.0
Work based learning,Why R,19/12/2019 13:00,19/12/2019 17:00,0.0
Formal / Educational,Women in Data Conference,30/11/2017 09:00,30/11/2017 21:00,5.0
