Title,Learning Hours,Activity Description,Benefit to Practice,Benefit to Users
Career Mentor Launch,1.0,"Introduction for the career mentoring scheme I'm taking part in. 
There was a one-hour session:

What Skills Does a Lancaster Career Mentor Need?
by Rob Pickersgill, Real Life Learning, Director, Coach - Trainer

There was also networking time with other career mentors which I found really beneficial.",Rob's session on mentoring was really helpful. He discussed techniques such as empathy and active listening. He also encouraged me to reflect on what I wanted to get out of the scheme.,"I believe there is a strong link between mentoring and being a good consultant. 
Rob's talk, and chatting with the other mentors gave me time to reflect on my consultancy skills, and in particular active listening."
Career Mentoring,0.0,"Career Mentoring. 
I've been mentoring two students who are interested in becoming data scientists. 
One is an undergraduate, and one is a post-graduate. 
The scheme runs from November 2019 - May 2020.",ASDF123,ASDF123
Challenges in practical applied data science: Philip Jonathan,0.0,"Data science and associated fields of machine learning, machine vision, natural language processing and ""AI"" are seen as ""game-changing"" technologies in many commercial, scientific, governmental and academic spheres. The ease, size and speed of data acquisition, processing, connectivity and storage, combined with the easy availability of sufficient computational resources, mean that methods for empirical inference can be applied in an ever-increasing range of situations. Whereas the underlying inference problems are often of themselves technically rather mundane, the challenge lies in applying relatively well-known algorithms for statistical learning (which have typically existed in some form for decades) to problems of considerably increased scale, and enabling deployment of ""at line"" or real time solutions.

This talk will outline some of the areas in which the ""digitalisation agenda"" and data science is impacting an organisation like Shell. Areas where data science is proving most beneficial will be summarised, as will current difficulties. For instance, we will consider the critical challenge of ""model assurance"" in applied data science, involving the development and implementation of in-situ methods for ""algorithm agnostic"" assessment and comparison of data-driven solutions to practical industrial problems.",ASDF123,ASDF123
Code for Lancaster,1.0,"Code for Lancaster is a volunteer Civic Technology meetup.

We were inspired by Code for Boston, and are made up of volunteer developers, designers, data geeks, citizen activists, and many others who look to use creative technology to solve civic and social problems.

We're having our first meeting at The Borough in Lancaster on Tuesday 30 October from 5.30pm.

5.30 - 6.30 Gather, networking
6.30 - 6.45 Quick overview of the work of Digital Lancashire
6.45 - 7.15 Thomas Skarbek-Wazynski to introduce Code Brigades, Code for Boston... and what we hope to achieve with Code for Lancaster
7.15 - Discussion about what the Code Brigade / Code for Lancaster initiative, and plans for a hack on #LancashireDigitalDay, November 27th
7.45 – More networking
Join us to discuss how we can hack Lancaster to make it a better place for everyone (and make plans for our first hackathon taking place 27 November on #LancashireDigitalDay!)

For example: “How might we better enable locals to be aware of mental health support” we consider a good problem statement, but “Let’s build a phone app to show people where the bus stops are” we consider to be a poor problem statement. The reason for this is so that we do not approach a project with a bunch of assumptions. We want to research the issue and find the best way to solve that issue.  

All projects must be open-source and freely available for their entire lifetime. We host all our project code on github, and if the project doesn’t involve code we will make it openly available in some other accessible way.  Projects of a political nature have to unbiased.

Projects focused on open-data, political awareness and transparency are fair game, but projects to support a particular political viewpoint are not.","Useful networking session, mixing with full stack developers as well as data scientists and statisticians. ","A number of the topics came back to discussing the ""What services can we provide"" vs ""What services do the users actually want?"" These discussions made me re-think the services that we currently provide and encouraged me to focus on the customer. "
Continuous Integration research,0.0,Watched talks on continuous integration strategies,ASDF123,ASDF123
"Data Conversations: Keep it, throw it, put it in the vault.",1.0,"In this Data Conversation we want to talk about the long term value of data. How can we make sure that data is accessible and usable now and into the future? Should we be keeping all of our data and if not, how can we assess what has long term value?

Come and share your data stories. We’d like to hear from:

People who’ve made decisions about what’s really worth preserving for the long term.
People who’ve created data that has been reused.
People who’ve reused data.
People who’ve lost data.
People who’ve faced obstacles reusing data.
People who’ve moved institutions and struggled to access their data","The speakers discussed their experiences with data, particularly how storing data that they hadn't expected to be useful was important in their analysis. We had some interesting discussions about lost data and personal data.",One of the first steps with users is discussing what data they have or deciding what data should be collected. Discussing best practises of data storage and collection will ensure we make the most of client's data.
Data Science Career Talk,0.0,Delivered a careers talk at Lancaster University,ASDF123,ASDF123
Digital Rail Summit,5.0,"Summit for Digital Rail:
All day event including:

* SWOT session
* Strategy and Action plan
* Incentivisation for employees,  NEDs and associates.
* Value propositions and business models
* How to make a company valuable
* Routes to market for the three products
* Website and marketing
* Business areas and existing business
* Roles and responsibilities
","As a new employee to Digital Rail, this was an invaluable experience to help me understand the full business, the different areas and challenges. 
","I now have a more thorough understanding of the market that Digital Rail operates in. 
In particular, the session on value propositions was really insightful,.We have begun to build this into our product development, to ensure that we are meeting the customers' needs at all time by matching customer needs with a product solution. "
Digital Rail: Summit,0.0,A bi-annual meeting of directors to discuss and plan the next year of the company.,ASDF123,ASDF123
"DSI Invited Talk, Friday Morning Talk Series",0.0,"Edmund Ryan, School of Mathematics, University of Manchester

Predicting the future repayment patterns of portfolios of non-performing debt using advanced statistical modelling.

Debt is a prominent and open concern in society and the wider economy.  Individuals who have defaulted on their debt expect to be treated fairly during the collection process.  Arrow Global is a debt purchaser and debt management company.  It purchases portfolios of non-performing consumer debt in bulk from banks and other financial institutions at a reduced cost compared to their face value.  It then takes over the responsibility of collecting the debt.  What distinguishes Arrow from other debt management companies is its approach to treating customers fairly by taking into account the individual circumstances of each customer and then tailoring a payment plan which the customer can afford.  For example, customers are able to spread repayments over long periods of time, with many customers only paying £1 per month.  Arrow Global is also the only UK based debt management company to have approval from the Financial Conduct Authority.
For decision making purposes, Arrow Global uses a stochastic statistical model to simulate the payment behaviour of each of its 6 million customers for 7 years into the future.  Due to the stochastic nature of the model, it must be run numerous times to minimise the Monte Carlo error.  Currently, the computational resources allow it to be run only five times per account, which is insufficient.  In collaboration with the School of Mathematics at the University of Manchester, Arrow is investigating novel statistical methods for carrying out up to 100+ model runs per account but with the same computing resources.  In this talk I will present current results that implement these methods and I will describe other methods that we believe will improve the performance, accuracy and utility of the model.

",ASDF123,ASDF123
DSI talk: Data Science and the ACM,0.5,"DSI Invited Talk, Friday Morning Talk Series 
Speaker: Vicki Hanson
Abstract: We are delighted to announce that ACM’s CEO Vicki Hanson will be visiting Lancaster and will give a short talk on ACM’s Data Science initiatives. All welcome.","Vicki talked mostly about the challenges when setting up a Data Science masters programme. from the perspective of a computer scientist. This encouraged me to reflect on my own data science learning journey, one pre-dominantly from the statistics side. It also made me consider the best way to teach these concepts when time is short.",Thinking about the best way to teach data science will structure and inform the way that I teach both statistics and programming in my training courses.
DSI talk: Quantifying Input Modelling error in Simulation models – what is it and why does it matter?,0.5,"Lucy Morgan, a new lecturer in the Management School, gave a very interesting talk on simulation models. Lucy discussed how assessing inputs into a simulation model is an area often overlooked, both in terms of the uncertainty and biases that inputs have on model outputs. Lucy showed how these effects can be properly quantified and interpreted.","Input error is an important but often neglected area of simulation modelling. 
Learning about what input error is and how I can best model it will be key to any future simulation modelling that I perform.","Any clients requiring simulation modelling will be reassured that I have thought about the possibility of input error, and have taken steps to quantify their effects on the model output.

"
EARL Conference,0.0,ASDF123,ASDF123,ASDF123
Enabling Better Network Performance,0.0,RSSB Conference,ASDF123,ASDF123
Florence Nightingale,1.0,I am presented a talk to a group of school children on Randomness and Probabilities. ,"Writing this talk made me think about the best way to explain complex concepts such as randomness to 16 year old girls. 

There were also a number of excellent talks which gave me inspirations for other styles of teaching I could try.","As a professional female mathematician I think it's important to demonstrate to young girls what sort of career paths are possible for them. 
I would hope that users of my service this see that as a worthwhile development, giving back to the STEM community. 

Also, being asked to present at this workshop is respected. 

Finally it demonstrates to my clients that I am able to convey complex statistical concepts in an understandable, digestible way."
Her + Data MCR,1.0,"The goal of the community is to bring together women who work with data or who would like work in data – to support one another, share experiences and knowledge, establish meaningful connections and talk data. The community sets out to connect and inspire amazing data women with diverse expertise and experience so they can learn from each other — whether it’s students just embarking on their careers or seasoned data leaders.

At this event, we’ll hear talks from some amazing women on the topics of Artificial Intelligence, Neural Networks, Machine Learning. So come along, ask questions and meet other women who love data!

Agenda:

• 18:30- 19:00 Networking with pizza & drinks
• 19:00- 20:00 Lightning talks from our women in data speakers and Q&A
• 20:00- 21:00 Networking & wrap-up

Speakers:

• Silvia Maggi (https://twitter.com/simaggi1) is a Researcher at the University of Manchester. She has spent years tinkering in her lab crunching biological data to understand mechanisms that control behaviour and brain functions. She is particularly interested in studying network dynamics underlying learning and memory. She is also a hobbyist photographer but primarily, she is a computational neuroscientist trying to crack the magic code of the brain.

• Rebecca Davey (https://twitter.com/suprahoopla) is a data scientist at traffic company INRIX. After starting out in physics and software development, she is now a spatial data expert and spends her time developing algorithms and applying machine learning to a range of interesting problems. She is happiest when playing with maps or building tools.

• Clara Higuera Cabanes (https://twitter.com/clarahiguerac), Data Scientist at BBC. Clara has a background in computer science. After graduating she carried out her PhD in Bioinformatics and Artificial Intelligence in Spain. Her thesis was focused in the application of machine learning methods for the study of metabolism. After her PhD she became interested in Data Science in industry and attended a Data Science Bootcamp in New York. Afterwards she worked for a while in a start up on line newspaper in Spain. Now she works in BBC as a data scientist helping to better understand BBC audience with the help of data and ML. Always happy to share her experience in Data Science.

• Magda Piatkowska (https://twitter.com/magdapiatkowska), Lead Data Scientist at BBC. Magda left academia as a systems engineer and computer scientist. She spent her fist years of a career in Dublin building data infrastructure in a Telco company. Then moved to gaming industry to join Silicon Valley’s Zynga. In the UK for last few years helping publishers and broadcasters build their data science capabilities. Started in Channel 4, then Telegraph and currently the BBC News focusing on ML driven newsroom transformation. Keen speaker and promoter of ethical and accessible ML in the industry. Member of a Data Science RSS committee.","Reconnecting with Magda and Clara was great. Their talk about clustering, really got me thinking about using data to personalise services. 

Rebecca's talk was particularly relevant as it was in the transport industry. 

Silvia's talk drew some fascinating similarities between neural networks and the brain.","These talks gave me encouraged me to start working with neural networks, a new technique which we can incorporate in our work."
IMechE NW RD - Challenging Times,2.0,"I was invited to present at the NW RD of the IMechE. I presented a case study on a vision system.  There were two other case studies, which were followed by the Chairman's address.

The Railway Division Chair, Andy Mellors, will examine the economic and wider societal benefits which the rail industry delivers and consider the current challenges facing the industry, the engineering profession and our Institution. The lecture will also address what the Railway Division should focus on, including what we need to do to in order to move with the times and attract the next generation of potential engineers.","The chairman's address by Andy Mellors gave me an excellent insight into the challenges that working in the railway can bring. 
I met a PhD student who presented his research on using deep neural networks to identify bicycles. He introduced me to a couple of techniques which may be useful in our work. ",Presenting our research to members of the IMechE allowed me to to understand better the difficulties in getting our research on the trains.
Instructor's webinar,0.0,a,a,a
Interview candidates,0.0,Assisting in interviews for a junior data science position at Jumping Rivers,ASDF123,ASDF123
Introduction to Python,8.0,"I attended a two day Introduction to Python course run by Jack Walton (Jumping Rivers)

I have already done a little python programming but had not received formal training before.

* Introduction to Python
* Programming with Python

Teaching + interactive workshops","As a data scientist, I frequently have to edit, format and write Python code. 
Having formal training means I have more confidence in my coding and have a better understanding of the language.",Clients frequently come to us with Python code. By having a more formal knowledge of the language I will be able adapt their code and integrate it wit our data pipelines more easily.
ISO9001 ,5.0,"My company (Digital Rail) decided to apply for ISO9001 certification. 
I was put in charge of developing a quality management system and ensuring that it was robust enough to pass the certification.

We passed first time and Digital Rail have ISO9001:2015 ceritication","I hadn't written any quality assessment documents before so this was all new to me. 

I learnt how to write a quality management manual, and the key components required for one. I also learnt about the importance of constantly reviewing a QMS and the systems used to perform such reviews. 

Personally, I feel knowledge of QMSs and how to write and maintain them will be important in any future roles, especially consultancy.","This has huge benefit to users of my service. By writing a QMS, this showcases that providing a quality service is of great importance to me. Writing a QMS demonstrates how we will deliver a quality service, and what systems we have in place to ensure the service delivered meets the objectives."
KableExtra,0.0,A project for client meant I had to learn more about the R package kableExtra. I did some work-based learning using LINK. I wrote up my findings in a blog post.,ASDF123,ASDF123
Leadership talk  - Kevin Glazebrook,1.0,"Kevin Glazebrook is Distinguished Professor of Operational Research (OR) at Lancaster University holding a joint appointment between the Departments of Mathematics and Statistics (Faculty of Science) and the Department of Management Science (Management School). He has previously held a Chair in Applied Probability at the University of Newcastle upon Tyne and a Chair in Management Science at the University of Edinburgh. In 1989-90 he was an NRC Senior Research Fellow at NPS. He has (co-)authored around 140 papers in outlets which span the leading international journals in OR, applied probability and statistics. He is currently directing three major national initiatives in OR in the UK:","Kevin gave some excellent advice in terms of how to succeed in academia. He gave examples of networking, discussed how to make the most of conferences and gave advice on publishing in both Statistics and Operational Research.",Developing my leadership skills will allow me to deliver a professional service to my clients and develop our business further.
Learn CI/CD,0.0,"In order to deliver a talk, I had to learn about CI and CD in dev ops.",ASDF123,ASDF123
Learn Lintr,0.0,"In order to use Jumping Rivers packages, I had to learn about the lintr package, in particular, the update to 2.0.0.",ASDF123,ASDF123
Learn Purrr,0.0,"I needed to learn the purrr R package for work. 
I worked through Chapters 21 and 25 of the R4DS book
https://r4ds.had.co.nz ",ASDF123,ASDF123
Manchester ML,2.0,"@DreamAgility using ML for image recognition to improve product descriptions in Google shopping search

Martin from @boohoo on Deep Feature Synthesis

Erik from@Octavia ""Bants about GANS""","Martin gave an overview of Max Kanter and Kalyan Veeramachaneni's paper on  ""Deep Feature Synthesis"".  This is a new technique which I am keen to try out on our data. 

Erik gave a great introduction to GANS (Generative adversarial networks). This again was a new technique which I was hoping to learn more about. Erik's talk gave a good overview of the pros, cons, and when these techniques are appropriate.

The Dream agility talk gave a great end to end story of how A/B testing can work. 

All three talks introduced new techniques which I am keen to introduce into our work.",Automatic feature extraction will allow us to generate better quality and more creative features. This will allow us to extract more information from client data. 
Manchester ML,0.0,"Machine Learning Meetup:
Phillipa Hartley @OfficialUoM presenting her talk ‘Finding rare objects in space""

",-,-
Manchester R,0.0,"Can you trust your R package?
Rhian Davies, Jumping Rivers

R for Primary Teaching
Chris Campbell, Auto Trader

Important Learnings in R: reactive function in Rshiny, tips on version control and best practice
Phrances Ayvee Perez, Booking.com",ASDF123,ASDF123
Manchester R User group,3.0,"6pm Tutorial: Getting started with sparklyr - Chris Campbell, Mango Solutions
7:10pm - Presentations:
RStudio Projects: Making your project QA into less of a project - Rachel Naylor, Transport for the North
Interpretable Machine Learning Models using R - Pantelis Hadjipantelis, bet365
Storytelling with R – the plot thickens - Rob England, N Brown","The sparklyr workshop was an excellent introduction to using Spark with in R Studio. I aim to add this to my toolbox of techniques. 
The RStudio Projects talk from Rachel gave some great tips on how to improve my quality assurance. 

",Spark is a big data technology. Using it will allow us to handle large data sets in a much more computationally efficient way. 
Manchester R User group,2.0,"Presentations:

Whoa, that's deep man - Martin Eastwood, boohoo.com
What has reproducibility ever done for us? A primer - Tania Allard, University of Sheffield
Don't use R in production* - David Springate, Think Big Analytics
","Martin gave an in-depth introduction to neural networks. Although I was aware of this technique before, something about how he explained everything really made something click for me. I feel my understanding of them, and confidence to use them has increased. 

I've thought about reproducibility a lot and therefore most of Tania's talk did not convey new information. However, she did introduce me to workflowR, and R package which I am keen to try out. Using this will help my improve my whole workflow with in R. I have also decided to investigate using docker. 

David's talk really got me thinking about using R in production. Although I think for the work that I do, it is still the right solution,  He highlighted some work around that can be used to help R be more stable in production. These technologies included: Packrat, install_github(“hadley/strict”) and Data.table
","By implementing the knowledge I have gained through this session, I will aim to provide a client service which meets gold standards for reproducibility."
Manchester R User group,1.0,"19:05 - 19:35 Fewer hippos, more lab coats: The importance of hypothesis testing - Catherine Leigh, AutoTrader

19:50 - 20:20 Eat Sleep Run R-Stats Repeat - Kaylea Haynes, Peak

20:35 - 21:05 Be the best with shinytest - Chris Campbell, Mango Solutions","Although I use shiny reguarly, and am aware of the important of testing code - I had not heard of shiny test. Chris introduced the R package shiny test and demonstrated how easily tests can be implemented into shiny apps. ","Learning about shiny test has inspired me to include testing in all shiny apps that I develop. This should help flag up any bugs quickly, creating a more dependable service for our users."
Manchester R User group,1.5,"Shiny: Beyond the Basics - Chris Campbell, Mango Solutions

Aiden Peakman, National Nuclear Laboratory - 'Bubble Trouble'
Chris Billingham, MAG-O - 'Battle of the Bands featuring Tidytext and Tensorflow'
Jane Jin, Autotrader - 'How do you make a decision?'","The Shiny tutorial by Chris was really useful. I thought I was quite knowledgeable about Shiny, but I hadn't really thought about interactivity before. This is a key concept in Shiny apps. This talk taught me that there is a lot more I could learn about shiny and really introduced the main concepts of interactivity to me. 

Jane introduced mlogit package for multinomial logistic regression mlogit. It was useful to find out about this package.

Chris Billingham's talk gave me more of an insight into the capabilities of the tidytext package and also introduced me to the tuneR package for analysing music and speech. I also had a good networking session with Chris and Jonathan from MAG-O afterwards. Useful discussions including pipelines.

TLDR: Gained key understanding of interactivity in Shiny, and learnt a little about some new R packages.","Now I have a better understanding of how Shiny apps work under the hood, I'll be able to build faster, better apps for my clients."
Mango Data Scientist Radar,1.0,"The Data Science Radar as a conceptual framework that allows users to explore these character traits in more detail and to uncover their own data science profile type. 
https://www.mango-solutions.com/radar/

Results: 

By creating quantitative descriptions of your data, you create insight that is a key deliverable for your team.
You interpret the meaningful reasons for features in a dataset.
You also pay attention to the detail of underlying assumptions, limits and exceptions when describing a system.
You are familiar with a variety of mathematical methods for describing dynamic systems and are highly skilled in using software that implements these.
You use a variety of graphical and numeric techniques to verify that you are delivering a high quality result that can be used to predict and optimise future performance.
When you are on the team, if there is information that can be gleaned from a system, you will find it.

Communicator: 4.3
Visualiser: 3.8
Technologist: 3.4
Data Wrangler: 4.1
Modeller: 5.4
Programmer: 6.2
","I have a tendancy to try and be good at everything rather than specialising in specific skills. Looking at my radar has reminded me of the skills which are less important in the roles that I do. I think I should focus on maintaining my Modelling, Programming and Communication skills rather than trying to keep on top of all the new different technologies (Docker, Hadoop etc.)","On an enterprise level, the Data Science Radar can help team leaders in the following ways:
To help shape a bespoke data science training course for your team by objectively identifying the training requirements of your existing staff.
To monitor learning during a long-term data science training programme.
As a visual aid to support your data scientist recruitment requirements, and to highlight where there are gaps in the skill set of your existing team and to identify the skill sets of potential new recruits.
"
Mentoring,0.0,Provided mentoring for a PhD student keen to get into Data Science,ASDF123,ASDF123
Mentoring junior data scientist,0.0,"I've been mentoring a new junior data scientist at Jumping Rivers.
The mentoring occurred throughout October - December.

He's new to the industry, and I've been responsible for supporting his learning.
This has included skills in git, bash, and R, as well as general working skills.",ASDF123,ASDF123
NHS R Conference,0.0,"Created and delivered two workshops. 
Attended a number of talks",ASDF123,ASDF123
Northwest Universities R Day,7.0,"The Northwest Universities R Day will be a fun event to listen, talk and share experiences of doing research with R. There will be keynote presentations from Andy Field and Robin Lovelace, flash talks, and a poster session, plus a series of interactive, practical workshops in the afternoon.

Programme
09.00 - Registration
09.30 - Welcome and Keynote talk – Robin Lovelace
10.00 - Flash talks 1 and questions
11.00 - Coffee break
11.30 - Keynote talk – Andy Field
12:00 - Flash talks and questions
13.00 - Lunch (Not included - but there is an event space at Hatch where you can buy some lunch)
14.00 - Panel discussion, Q&As with invited speakers and other guests
14.45 - Poster session and coffee
15.15 - Parallel workshops - 5 choices (below)
17.30 - Workshop presentations and awards
18.00 - Halloween R pub quiz and pizza at nearby pub (venue TBC)


Parellel Sessions
Tatjana Kecojevic - Build your website using R, RStudio and blowdown package
David Mawdsley - A brief introduction to the Tidyverse
Manipulating tabular data, plotting it and combining commands to make analysis pipelines
Anna Krystalli – Reproducible research in R with rrtools
Ralf Becker - Teaching and Programming in R
What are the real hurdles for programming beginners? Discussion on ideas and experiences of attendees to think about how we could introduce learners to these basic techniques.
Chris Campbell – The curse of the unspecified data definition
Using R in a business environment

","This was a hugely beneficial day for me. The talks covered a broad rang e of topics and techniques from interactive teaching with the R language, to reproducible data analysis. I have plenty of great resources to take away and work through.



","In particular the training session with Chris Campbell on the ""Curse of unspecified data definition""  taught me the importance of clearly defined data rules when dealing with client data. By implementing the principles and techniques that I learnt in the workshop, we will be able to provide a more robust data service for our clients. "
Observing training,0.0,"Watching Theo deliver training for two days in Redhill. 
Intro to R and Programming with R",ASDF123,ASDF123
OR Analytics Conferece,0.0,ASDF123,ASDF123,ASDF123
OR60 Conference,2.0,"I attended part of the Operational Research 60th Conference. 

Particular talks of interest were from TfM, Edwin, and  Women in OR","Edwin is researching re-scheduling in the train delay scenario. It was useful to see how the problem is formulated in linear algebra. The Women in OR meeting was beneficial to my confidence and networking.

",Staying up-to-date with the latest academic research allows me to bring bepsoke techniques to our clients.
Organiser of RLadies Lancaster,0.0,I'm currently lead organiser of the RLadies Lancaster meetup.,ASDF123,ASDF123
Organiser of the SatRday NCL 2020 conference,0.0,"I'm one of the organisers for the SatRday NCL 2020 conference.
This will take place on April 4th 2020.",ASDF123,ASDF123
Pair programming with Benjamin,0.0,A mentoring system focused on packages development,ASDF123,ASDF123
Parsnip and Reciepes,0.0,Self-taught research. Link to videos and tutorials.,ASDF123,ASDF123
