Title,Learning Hours,Activity Description,Benefit to Practice,Benefit to Users
Her + Data MCR,1.0,"The goal of the community is to bring together women who work with data or who would like work in data – to support one another, share experiences and knowledge, establish meaningful connections and talk data. The community sets out to connect and inspire amazing data women with diverse expertise and experience so they can learn from each other — whether it’s students just embarking on their careers or seasoned data leaders.

At this event, we’ll hear talks from some amazing women on the topics of Artificial Intelligence, Neural Networks, Machine Learning. So come along, ask questions and meet other women who love data!

Agenda:

• 18:30- 19:00 Networking with pizza & drinks
• 19:00- 20:00 Lightning talks from our women in data speakers and Q&A
• 20:00- 21:00 Networking & wrap-up

Speakers:

• Silvia Maggi (https://twitter.com/simaggi1) is a Researcher at the University of Manchester. She has spent years tinkering in her lab crunching biological data to understand mechanisms that control behaviour and brain functions. She is particularly interested in studying network dynamics underlying learning and memory. She is also a hobbyist photographer but primarily, she is a computational neuroscientist trying to crack the magic code of the brain.

• Rebecca Davey (https://twitter.com/suprahoopla) is a data scientist at traffic company INRIX. After starting out in physics and software development, she is now a spatial data expert and spends her time developing algorithms and applying machine learning to a range of interesting problems. She is happiest when playing with maps or building tools.

• Clara Higuera Cabanes (https://twitter.com/clarahiguerac), Data Scientist at BBC. Clara has a background in computer science. After graduating she carried out her PhD in Bioinformatics and Artificial Intelligence in Spain. Her thesis was focused in the application of machine learning methods for the study of metabolism. After her PhD she became interested in Data Science in industry and attended a Data Science Bootcamp in New York. Afterwards she worked for a while in a start up on line newspaper in Spain. Now she works in BBC as a data scientist helping to better understand BBC audience with the help of data and ML. Always happy to share her experience in Data Science.

• Magda Piatkowska (https://twitter.com/magdapiatkowska), Lead Data Scientist at BBC. Magda left academia as a systems engineer and computer scientist. She spent her fist years of a career in Dublin building data infrastructure in a Telco company. Then moved to gaming industry to join Silicon Valley’s Zynga. In the UK for last few years helping publishers and broadcasters build their data science capabilities. Started in Channel 4, then Telegraph and currently the BBC News focusing on ML driven newsroom transformation. Keen speaker and promoter of ethical and accessible ML in the industry. Member of a Data Science RSS committee.","Reconnecting with Magda and Clara was great. Their talk about clustering, really got me thinking about using data to personalise services. 

Rebecca's talk was particularly relevant as it was in the transport industry. 

Silvia's talk drew some fascinating similarities between neural networks and the brain.","These talks gave me encouraged me to start working with neural networks, a new technique which we can incorporate in our work."
IMechE NW RD - Challenging Times,2.0,"I was invited to present at the NW RD of the IMechE. I presented a case study on a vision system.  There were two other case studies, which were followed by the Chairman's address.

The Railway Division Chair, Andy Mellors, will examine the economic and wider societal benefits which the rail industry delivers and consider the current challenges facing the industry, the engineering profession and our Institution. The lecture will also address what the Railway Division should focus on, including what we need to do to in order to move with the times and attract the next generation of potential engineers.","The chairman's address by Andy Mellors gave me an excellent insight into the challenges that working in the railway can bring. 
I met a PhD student who presented his research on using deep neural networks to identify bicycles. He introduced me to a couple of techniques which may be useful in our work. ",Presenting our research to members of the IMechE allowed me to to understand better the difficulties in getting our research on the trains.
Leadership talk  - Kevin Glazebrook,1.0,"Kevin Glazebrook is Distinguished Professor of Operational Research (OR) at Lancaster University holding a joint appointment between the Departments of Mathematics and Statistics (Faculty of Science) and the Department of Management Science (Management School). He has previously held a Chair in Applied Probability at the University of Newcastle upon Tyne and a Chair in Management Science at the University of Edinburgh. In 1989-90 he was an NRC Senior Research Fellow at NPS. He has (co-)authored around 140 papers in outlets which span the leading international journals in OR, applied probability and statistics. He is currently directing three major national initiatives in OR in the UK:","Kevin gave some excellent advice in terms of how to succeed in academia. He gave examples of networking, discussed how to make the most of conferences and gave advice on publishing in both Statistics and Operational Research.",Developing my leadership skills will allow me to deliver a professional service to my clients and develop our business further.
Manchester ML,2.0,"@DreamAgility using ML for image recognition to improve product descriptions in Google shopping search

Martin from @boohoo on Deep Feature Synthesis

Erik from@Octavia ""Bants about GANS""","Martin gave an overview of Max Kanter and Kalyan Veeramachaneni's paper on  ""Deep Feature Synthesis"".  This is a new technique which I am keen to try out on our data. 

Erik gave a great introduction to GANS (Generative adversarial networks). This again was a new technique which I was hoping to learn more about. Erik's talk gave a good overview of the pros, cons, and when these techniques are appropriate.

The Dream agility talk gave a great end to end story of how A/B testing can work. 

All three talks introduced new techniques which I am keen to introduce into our work.",Automatic feature extraction will allow us to generate better quality and more creative features. This will allow us to extract more information from client data. 
Manchester ML,0.0,"Machine Learning Meetup:
Phillipa Hartley @OfficialUoM presenting her talk ‘Finding rare objects in space""

",-,-
Manchester R User group,3.0,"6pm Tutorial: Getting started with sparklyr - Chris Campbell, Mango Solutions
7:10pm - Presentations:
RStudio Projects: Making your project QA into less of a project - Rachel Naylor, Transport for the North
Interpretable Machine Learning Models using R - Pantelis Hadjipantelis, bet365
Storytelling with R – the plot thickens - Rob England, N Brown","The sparklyr workshop was an excellent introduction to using Spark with in R Studio. I aim to add this to my toolbox of techniques. 
The RStudio Projects talk from Rachel gave some great tips on how to improve my quality assurance. 

",Spark is a big data technology. Using it will allow us to handle large data sets in a much more computationally efficient way. 
Manchester R User group,2.0,"Presentations:

Whoa, that's deep man - Martin Eastwood, boohoo.com
What has reproducibility ever done for us? A primer - Tania Allard, University of Sheffield
Don't use R in production* - David Springate, Think Big Analytics
","Martin gave an in-depth introduction to neural networks. Although I was aware of this technique before, something about how he explained everything really made something click for me. I feel my understanding of them, and confidence to use them has increased. 

I've thought about reproducibility a lot and therefore most of Tania's talk did not convey new information. However, she did introduce me to workflowR, and R package which I am keen to try out. Using this will help my improve my whole workflow with in R. I have also decided to investigate using docker. 

David's talk really got me thinking about using R in production. Although I think for the work that I do, it is still the right solution,  He highlighted some work around that can be used to help R be more stable in production. These technologies included: Packrat, install_github(“hadley/strict”) and Data.table
","By implementing the knowledge I have gained through this session, I will aim to provide a client service which meets gold standards for reproducibility."
Manchester R User group,1.0,"19:05 - 19:35 Fewer hippos, more lab coats: The importance of hypothesis testing - Catherine Leigh, AutoTrader

19:50 - 20:20 Eat Sleep Run R-Stats Repeat - Kaylea Haynes, Peak

20:35 - 21:05 Be the best with shinytest - Chris Campbell, Mango Solutions","Although I use shiny reguarly, and am aware of the important of testing code - I had not heard of shiny test. Chris introduced the R package shiny test and demonstrated how easily tests can be implemented into shiny apps. ","Learning about shiny test has inspired me to include testing in all shiny apps that I develop. This should help flag up any bugs quickly, creating a more dependable service for our users."
Mango Data Scientist Radar,1.0,"The Data Science Radar as a conceptual framework that allows users to explore these character traits in more detail and to uncover their own data science profile type. 
https://www.mango-solutions.com/radar/

Results: 

By creating quantitative descriptions of your data, you create insight that is a key deliverable for your team.
You interpret the meaningful reasons for features in a dataset.
You also pay attention to the detail of underlying assumptions, limits and exceptions when describing a system.
You are familiar with a variety of mathematical methods for describing dynamic systems and are highly skilled in using software that implements these.
You use a variety of graphical and numeric techniques to verify that you are delivering a high quality result that can be used to predict and optimise future performance.
When you are on the team, if there is information that can be gleaned from a system, you will find it.

Communicator: 4.3
Visualiser: 3.8
Technologist: 3.4
Data Wrangler: 4.1
Modeller: 5.4
Programmer: 6.2
","I have a tendancy to try and be good at everything rather than specialising in specific skills. Looking at my radar has reminded me of the skills which are less important in the roles that I do. I think I should focus on maintaining my Modelling, Programming and Communication skills rather than trying to keep on top of all the new different technologies (Docker, Hadoop etc.)","On an enterprise level, the Data Science Radar can help team leaders in the following ways:
To help shape a bespoke data science training course for your team by objectively identifying the training requirements of your existing staff.
To monitor learning during a long-term data science training programme.
As a visual aid to support your data scientist recruitment requirements, and to highlight where there are gaps in the skill set of your existing team and to identify the skill sets of potential new recruits.
"
Northwest Universities R Day,7.0,"The Northwest Universities R Day will be a fun event to listen, talk and share experiences of doing research with R. There will be keynote presentations from Andy Field and Robin Lovelace, flash talks, and a poster session, plus a series of interactive, practical workshops in the afternoon.

Programme
09.00 - Registration
09.30 - Welcome and Keynote talk – Robin Lovelace
10.00 - Flash talks 1 and questions
11.00 - Coffee break
11.30 - Keynote talk – Andy Field
12:00 - Flash talks and questions
13.00 - Lunch (Not included - but there is an event space at Hatch where you can buy some lunch)
14.00 - Panel discussion, Q&As with invited speakers and other guests
14.45 - Poster session and coffee
15.15 - Parallel workshops - 5 choices (below)
17.30 - Workshop presentations and awards
18.00 - Halloween R pub quiz and pizza at nearby pub (venue TBC)


Parellel Sessions
Tatjana Kecojevic - Build your website using R, RStudio and blowdown package
David Mawdsley - A brief introduction to the Tidyverse
Manipulating tabular data, plotting it and combining commands to make analysis pipelines
Anna Krystalli – Reproducible research in R with rrtools
Ralf Becker - Teaching and Programming in R
What are the real hurdles for programming beginners? Discussion on ideas and experiences of attendees to think about how we could introduce learners to these basic techniques.
Chris Campbell – The curse of the unspecified data definition
Using R in a business environment

","This was a hugely beneficial day for me. The talks covered a broad rang e of topics and techniques from interactive teaching with the R language, to reproducible data analysis. I have plenty of great resources to take away and work through.



","In particular the training session with Chris Campbell on the ""Curse of unspecified data definition""  taught me the importance of clearly defined data rules when dealing with client data. By implementing the principles and techniques that I learnt in the workshop, we will be able to provide a more robust data service for our clients. "
OR60 Conference,2.0,"I attended part of the Operational Research 60th Conference. 

Particular talks of interest were from TfM, Edwin, and  Women in OR","Edwin is researching re-scheduling in the train delay scenario. It was useful to see how the problem is formulated in linear algebra. The Women in OR meeting was beneficial to my confidence and networking.

",Staying up-to-date with the latest academic research allows me to bring bepsoke techniques to our clients.
Personal mathematics tutoring,3.0,"For 6 weeks, I privately tutored two students, one GCSE student and one A-Level student. ","Revisiting the material for GCSE and A-Level was a great way for me to re-connect with basic mathematical principles.
Having to explain these concepts to teenagers, helped me rethink the way that I communicate, using many examples.

Also, having to structure the lessons and set homework encouraged me to reflect on planning.

",Being able to succinctly explain mathematical concepts to lay-people will greatly improve my ability to engage with clients.
Psychology Summit,6.0,"Work summit in London, introducing me to the company, how our department works and reviewing our plans for writing papers in 2018.","This session was invaluable to introduce me to the science department of Arctic Shores. I learnt about how the department operates, what their outputs are and who does what. We discussed which journals and conferences are key in psychology, and the role of the British Psychological Society. ",Having a good understanding of how my department works is essential to quickly providing good quality analysis for our clients. Targetting the correct conferences with papers provides our clients with confidence that our tools have a strong scientific basis. 
R-Ladies,1.0,"Using a real-life data set R-Ladies Manchester is hosting a workshop evening that will allow members to learn, and develop, skills and tricks for approaching a new data analysis project. We will split into groups, preferably with each group having a mix of backgrounds and R experience, to give the opportunity of peer learning and support. We envision that the workshop will include:

• Using branches in Github to work on different versions of the project
• Importing data into R
• Data analysis and visualisations in R
• Finding interesting insights from the data which we could present at the Manchester R group.","The introduction to using branches in GitHub was very insightful. I also taught some data analysis techniques to other attendees. 

","Using GitHub is an excellent way to ensure that our service is well documented, uses version control and is reproducible."
R-Ladies,0.5,"Book club: Data Imports & Tibbles

We're starting a new bookclub series where we will work through some chapters from the wonderful ""R for Data Science"" (http://r4ds.had.co.nz/). In this first session we will cover topics on Importing Data and working with Tibbles (chapters 7 & 8).

If you are completely new to R and would like a hand setting up R on your laptop come chat to us at the beginning of the session and we can help you out.

We hope these sessions will be a great introduction and development sessions for those of you who are new to R.

For those more experienced R users we will look to provide some challenges related to the topics or you can help mentor others.

Many thanks to Peak for offering us a space to use for this event. If you can offer us a space for future events please get in touch.","This bookclub included an excellent comparison of data.frames() and tibbles().
These extra tips will help improve my R coding. ",Staying up-to-date with R coding practice is essential to good development. 
R4DS tutoring,1.0,"I volunteered to tutor online for 2 hours as an ""R expert""","The tutoring session involved me re-visiting the Tidyverse. Explaining these concepts to a beginner helped my improve my communication and tutoring skills. Explaining programming concepts over a messaging service can be challenging, and practising this allowed me to trial new techniques.","Improved communication, especially relating to coding and programming is vital for  delivering an understandable service."
Rail Supplier Engagement Event ,2.0,"The Centre for Innovation in Rail at the University of Huddersfield offers a unique collaboration between world-class rail academics and industry professionals to provide access to leading-edge research and development expertise. We are constantly working with a number of key industry partners such as Unipart Rail, whilst forming new relationships with innovative SMEs and other solutions providers to offer:

specialist technology and business services
product testing and development
funding opportunities
routes to market for new and developed concepts
We would like to introduce SMEs to the benefits of working with the University and our industry partners; we are therefore holding a supplier engagement event, open to SMEs of all sizes and disciplines on the 27th November 2018, during which delegates can meet with colleagues from the University as well as Network Rail, Unipart Rail and the Rail Alliance. The event will provide an opportunity to:

learn how you can work with the University to support your business needs;
discover the opportunities offered by the rail sector locally, nationally and internationally;
hear from Network Rail on their current challenges, R&D plans and what they are seeking to overcome in partnership with suppliers;
Hear from and talk to Unipart Rail; understand how they can help get your product to market;
learn of the ways in which you can receive support and guidance from the Rail Alliance;","Martin Little from the Rail Alliance gave a thorough introduction to the rail industry. He explained TOCS, ROCS and government agencies. 
He also gave 15 tips for getting started working in the rail industry. 

This overview really helped me understand how the many different rail companies interact.","A detailed understanding of the interaction between companies is vital to ensuring that we are bae

I also spoke to Rail Alliance about how we can get testing vouchers to test our products. By testing our products on a real train we can improve the quality."
Reading: Elements of Statistical Learning,4.0,"https://web.stanford.edu/~hastie/Papers/ESLII.pdf

Working through the following chapters:
3: Linear Methods for Regression
14: Unsupervised Learning
15: Random Forests","As a statistician, it is important to understand the mathematics behind techniques such as linear regression, unsupervised learning and random forests. I focussed on these chapters are they are the most important to my current work with Arctic Shores, however, I would like to work through the entire book at some point.",Having a good understanding of these modelling techniques allows me to develop models for clients whilst being aware of possible pitfalls and biases. 
Reading: R4DS,4.0,"Working through the R4DS book in Autumn 2017. 
https://r4ds.had.co.nz/

 This book will teach you how to do data science with R: You’ll learn how to get your data into R, get it into the most useful structure, transform it, visualise it and model it. In this book, you will find a practicum of skills for data science. Just as a chemist learns how to clean test tubes and stock a lab, you’ll learn how to clean data and draw plots—and many other things besides. These are the skills that allow data science to happen, and here you will find the best practices for doing each of these things with R. You’ll learn how to use the grammar of graphics, literate programming, and reproducible research to save time. You’ll also learn how to manage cognitive resources to facilitate discoveries when wrangling, visualising and exploring data.

","This book is the gold standard for data science in R. Working through the book taught me new skills, particularly in visualising data using ggplot.

","Having strong R skills are essential for both analysing client data, but also visualising their data in a clear, intuitive way."
Reading: Reproducible Research,2.0,"I worked through the excellent tutorial by Karl Broman on Reproducible Research.

https://kbroman.org/steps2rr/",I aim to use a workflow which meets the gold standard for reproducibility. This guide gave me some great tips and ideas. ,"By providing a reproducible workflow, it increases the reliability of the results provided. Also, if the data changes it allows a quick re-analysis. "
RSS CPD training webcast,0.5,"Worked through CPD training on RSS website

https://www.youtube.com/watch?v=roVi9l3MKt0&feature=youtu.be","Although I have already attended an RSS CPD course, I found it very useful to revisit this webcast. This time I focussed more on the planning and general development rather than the actual activities. ",Since working through this I have decided to make a development plan in order to ensure that my CPD matched the skills that I need to develop.
RSS Lancashire Talk: David Spiegelhalter,1.0,"David Spiegelhalter - Trust in Numbers

Those who value quantitative and scientific evidence are faced with claims both of a reproducibility crisis in scientific publication, and of a post-truth society abounding in fake news and alternative facts.  Both issues are of vital importance to statisticians, and both are deeply concerned with trust in expertise.  By considering the ‘pipelines’ through which scientific and political evidence is propagated, I will consider possible ways of improving both the trustworthiness of the statistical evidence being communicated, and the ability of audiences to assess the quality and reliability of what they are being told.
","David's talk presented a number of excellent examples which I can use in my role as an RSS Statistical ambassador. The pipelines that he discussed has encouraged me to take responsibility for the way that my research is communicated. I will do this by ensuring that all press releases are accompanied by more public-friendly versions, there by helping University press offices do there work. ","In my role as statistical ambassador for the RSS, David has provided me with many excellent examples which I can share when educating members of the public."
RSS Lancashire Talk: Davide Pigoli,0.5,"The statistical analysis of acoustic phonetic data: exploring differences between spoken Romance languages

Exploring phonetic changes between languages is relevant to understand their history and geographical spread. While many studies have considered differences in textual form or in phonetic transcription, it is somewhat more difficult to analyse speech recordings in this manner, although this is usually the dominant mode of transmission of language changes. Here, we propose a novel approach to explore phonetic changes, using log-spectrograms of speech recordings. After pre-processing the data to remove inherent individual differences, we identify time and frequency covariance functions as a feature of the language; in contrast, the mean depends mostly on the word that has been uttered. We use these means and covariances to postulate paths between languages, and we illustrate some preliminary results obtained when the model is applied to recordings of speakers of selected Romance languages. This is part of a joint work with P.Z. Hadjipantelis, J.S. Coleman and J.A.D. Aston.","It was interesting to learn how it is possible to analyse acoustical data using Fourier analysis. In particular, separating word differences and language difference.",Expanding the types of data that we are able to analysis broadens the services that we are able to provide 
RSS PSF Route to Chartered CStat,2.5,"I learnt how to track my CPD, what sort of activities are applicable, and how more about the pathway to CStat.

Support provided along the pathway (including the GradStat mentoring scheme and mid-term review).Continuing Professional Development (CPD) – what’s expected in terms of doing and recording CPD
","I learnt how to track my CPD, what sort of activities are applicable, and how more about the pathway to CStat. 

I began to re-think how I present myself as a professional statistician, and the guidelines to follow as a Fellow of the Royal Statistical Soceity","CPD is vital to provide a professional, up-to-date, service to clients."
RSS PSF: Effective Communication,0.5,"The career value of effective communication skills: Case studies from the RSS statistical ambassadors programme - watch video (YouTube)
Speakers: Robert Cuffe (BBC News), Liberty Vittert (University of Glasgow), David Beckett (Office for National Statistics)
The RSS statistical ambassadors programme is helping early-career professional statisticians to respond to requests from event organisers and the media, but what is it all about? With a call out to the membership to apply for the next cohort of statistical ambassadors this webinar will show what the programme is about from the perspective of three ambassadors. The aim of their presentations will be to discuss how the programme has been beneficial to their careers and how communication is a very important aspect of everyone’s careers.",These talks gave some excellent examples of how best to communicate statistical concepts. ,Communicating is a vital part of providing a full service.
RSS PSF: Excellence in Official Statistics,0.5,"Excellence in Official Statistics – engagement, insight and building trust - Webcast (Youtube)
Speakers: Alastair McAlpine (download slides), Scottish Government; Laura Watson-Heard (download slides), Department for Work and Pensions; Ian Polanowski (download slides), Health and Safety Executive; Rob Green (download slides), Ministry of Housing, Communities and Local Government
The RSS Official Statistics Awards, jointly awarded by the RSS and by the UK Statistics Authority, recognise and celebrate developments in Official Statistics. In this meeting you will hear from the winners and those short-listed for the 2017 Awards. They will talk about the motivation for the work, how it was done, the key outcomes and how things have developed since. In particular:

The Scottish Government, winners of the Award, with the Scottish Index of Multiple Deprivation (SIMD16). This was commended for excellent processes to develop understanding of user needs, communication of findings to decision makers, clever use of case studies and user engagement to build public trust, and clear advice on what the SIMD can and cannot be used for.
The Department for Work and Pensions on the presentation of the Work, Health and Disability Green Paper Data Pack and on work to strategically bring together the outputs to improve public accessibility and user engagement.
The Health and Safety Executive on its work on user-focus and accessibility of Health and Safety Statistics for Great Britain 2015/16.
The Ministry of Housing, Communities and Local Government on innovations and improving ease of use of its Live Performance Dashboard.",Introduced a couple of new visualisation ideas that I hadn't seen before. ,New visualisation techniques can allow us to communicate our findings to clients.
RSS Stats Ambassador: Panorama,2.0,"Assisted Stephen Walsh, Assistant Producer for Blakeway creating a Panorama programme ""Plane Drunk""","Liaising with Stephen, understanding his question and explaining the consequences can to him helped develop my communication skills. 

Working with a TV company gave me the experience of working to a tight deadline. ",Developing my communication and time keeping skills are keep points of providing a good service in statistical consultancy.
RSS Stats Ambassador: Stat of the Year,2.0,Assisted the RSS in checking their statistics for Stat of the Year 2018.,"This activity allowed me to develop my fact-checking skills, quickly looking for potential errors or pitfalls in the statistics presented.

Due to time constraints, this also forced me to practise working efficient and develop my time-keeping skills. 
",Having a keen eye for possible errors or biases in data is an important skill for ensuring that the analysis and statistics that you have developed are a fair representation of the data. It was great to practice ensuring that the answer provided actually answers the original question!  This is another vital service when providing consultancy for clients.
